,fold,NON,Hugin,SIIC,NOPar,NOO,RComplexity,NOS,NOC,HuginCost,SIICCost,complexity,difference
0,0,5,46,16,2,0,24,2,0,24,19,20,30
1,1,5,63,16,2,0,28,2,0,28,23,20,47
2,2,5,47,0,2,0,32,2,0,32,23,20,47
3,3,5,47,0,2,0,24,2,0,24,23,20,47
4,4,5,47,0,2,0,32,2,0,32,23,20,47
5,0,20,62,0,2,0,888,2,0,888,111,80,62
6,1,20,63,16,2,0,572,2,0,572,109,80,47
7,2,20,62,0,2,0,696,2,0,696,110,80,62
8,3,20,63,16,2,0,816,2,0,816,109,80,47
9,4,20,63,0,2,0,804,2,0,804,106,80,63
10,0,50,85,31,2,0,21296,2,0,21296,289,200,54
11,1,50,100,47,2,0,40340,2,0,40340,286,200,53
12,2,50,97,32,2,0,36344,2,0,36344,291,200,65
13,3,50,109,47,2,0,156120,2,0,108248,285,200,62
14,4,50,110,31,2,0,109100,2,0,109100,291,200,79
15,0,5,47,0,3,0,32,2,0,32,27,40,47
16,1,5,46,16,3,0,32,2,0,32,23,40,30
17,2,5,47,0,3,0,20,2,0,20,21,40,47
18,3,5,47,0,3,0,32,2,0,32,23,40,47
19,4,5,47,0,3,0,24,2,0,24,25,40,47
20,0,20,62,15,3,0,4512,2,0,4512,171,160,47
21,1,20,62,0,3,0,3712,2,0,3712,167,160,62
22,2,20,63,16,3,0,2016,2,0,2016,148,160,47
23,3,20,63,16,3,0,4096,2,0,4096,165,160,47
24,4,20,63,16,3,0,5168,2,0,5168,166,160,47
25,0,50,144,79,3,0,11855136,2,0,11855136,469,400,65
26,1,50,125,47,3,0,2032892,2,0,2032892,433,400,78
27,2,50,140,109,3,0,12577520,2,0,11600624,454,400,31
28,3,50,125,63,3,0,3868872,2,0,3868872,450,400,62
29,4,50,109,47,3,0,3446416,2,0,4954128,456,400,62
30,0,5,47,0,5,0,32,2,0,32,27,160,47
31,1,5,46,0,5,0,24,2,0,24,27,160,46
32,2,5,63,16,5,0,16,2,0,16,22,160,47
33,3,5,63,15,5,0,20,2,0,20,27,160,48
34,4,5,47,0,5,0,28,2,0,28,22,160,47
35,0,20,63,0,5,0,24464,2,0,24464,377,640,63
36,1,20,63,16,5,0,19856,2,0,19856,323,640,47
37,2,20,62,16,5,0,22752,2,0,22752,382,640,46
38,3,20,63,0,5,0,10496,2,0,10496,351,640,63
39,4,20,62,16,5,0,63104,2,0,63104,399,640,46
40,0,50,15737,18152,5,0,1893935776,2,0,1893935776,1369,1600,-2415
41,2,50,1094,1250,5,0,161553856,2,0,161553856,1299,1600,-156
42,3,50,1937,2234,5,0,247039808,2,0,247039808,1377,1600,-297
43,0,5,62,15,2,0,108,3,0,108,46,90,47
44,1,5,47,0,2,0,108,3,0,108,40,90,47
45,2,5,47,0,2,0,90,3,0,90,34,90,47
46,3,5,47,0,2,0,90,3,0,90,34,90,47
47,4,5,47,0,2,0,108,3,0,108,40,90,47
48,0,20,63,0,2,0,3402,3,0,3402,194,360,63
49,1,20,62,16,2,0,12474,3,0,12474,212,360,46
50,2,20,62,0,2,0,5778,3,0,5778,208,360,62
51,3,20,63,16,2,0,7074,3,0,7074,214,360,47
52,4,20,63,16,2,0,4320,3,0,4320,202,360,47
53,0,50,156,63,2,0,5349672,3,0,5349672,568,900,93
54,1,50,203,125,2,0,24577614,3,0,24577614,562,900,78
55,2,50,140,78,2,0,6365574,3,0,6006906,568,900,62
56,3,50,141,47,2,0,1806012,3,0,1806012,560,900,94
57,4,50,110,62,2,0,3005802,3,0,6911298,562,900,48
58,0,5,47,0,3,0,108,3,0,108,50,270,47
59,1,5,47,0,3,0,90,3,0,90,52,270,47
60,2,5,47,0,3,0,108,3,0,108,56,270,47
61,3,5,47,0,3,0,108,3,0,108,46,270,47
62,4,5,47,0,3,0,108,3,0,108,40,270,47
63,0,20,62,0,3,0,33426,3,0,33426,410,1080,62
64,1,20,63,15,3,0,50544,3,0,50544,424,1080,48
65,2,20,62,15,3,0,40932,3,0,40932,418,1080,47
66,3,20,62,15,3,0,55674,3,0,55674,408,1080,47
67,4,20,47,0,3,0,34272,3,0,34272,404,1080,47
68,0,5,47,15,5,0,90,3,0,90,34,2430,32
69,1,5,47,0,5,0,108,3,0,108,40,2430,47
70,2,5,47,16,5,0,90,3,0,90,58,2430,31
71,3,5,47,0,5,0,108,3,0,108,58,2430,47
72,4,5,63,15,5,0,54,3,0,54,40,2430,48
73,0,20,63,15,5,0,1713636,3,0,1713636,2126,9720,48
74,1,20,63,16,5,0,992412,3,0,992412,1892,9720,47
75,2,20,62,15,5,0,2178252,3,0,2178252,2056,9720,47
76,3,20,78,47,5,0,5929686,3,0,5929686,2558,9720,31
77,4,20,78,32,5,0,3013686,3,0,3013686,2252,9720,46
78,0,5,47,0,2,0,96,4,0,96,37,240,47
79,1,5,47,0,2,0,208,4,0,208,58,240,47
80,2,5,47,0,2,0,112,4,0,112,49,240,47
81,3,5,47,0,2,0,256,4,0,256,49,240,47
82,4,5,63,0,2,0,208,4,0,208,49,240,63
83,0,20,62,15,2,0,22816,4,0,22816,325,960,47
84,1,20,62,16,2,0,44608,4,0,47680,349,960,46
85,2,20,63,16,2,0,11136,4,0,10368,322,960,47
86,3,20,63,16,2,0,24208,4,0,24208,325,960,47
87,4,20,63,16,2,0,51088,4,0,51088,325,960,47
