,fold,NON,NOPar,NOO,NOS,NOC,Hugin,SIIC,HuginCost,SIICCost,complexity,difference
0,0,5,2,0,2,0,66,4,24,24,20,62
5,0,5,2,1,2,1,15,11,160,176,40,4
10,0,5,2,2,2,1,14,11,384,1680,60,3
15,0,5,2,3,2,1,21,14,296,432,80,7
20,0,5,2,1,2,2,23,18,272,1264,60,5
25,0,5,2,2,2,2,18,12,360,640,100,6
30,0,5,2,3,2,2,18,14,1552,19104,140,4
34,0,5,2,1,2,3,23,13,368,1408,80,10
39,0,5,2,2,2,3,49,24,1856,131584,140,25
44,0,5,2,3,2,3,23,16,3488,235912,200,7
49,0,5,3,0,2,0,8,2,32,32,40,6
54,0,5,3,1,2,1,14,7,112,288,80,7
59,0,5,3,2,2,1,14,8,140,164,120,6
64,0,5,3,3,2,1,14,8,528,976,160,6
69,0,5,3,1,2,2,19,13,200,672,120,6
74,0,5,3,2,2,2,19,15,656,5584,200,4
83,0,5,3,1,2,3,22,14,312,520,160,8
88,0,5,3,2,2,3,25,12,2192,110928,280,13
92,0,5,3,3,2,3,24,15,2168,305632,400,9
97,0,5,5,0,2,0,10,2,32,32,160,8
102,0,5,5,1,2,1,13,8,192,176,320,5
107,0,5,5,2,2,1,14,9,184,720,480,5
112,0,5,5,3,2,1,14,9,624,4416,640,5
117,0,5,5,1,2,2,17,10,200,216,480,7
122,0,5,5,2,2,2,17,9,704,2112,800,8
127,0,5,5,3,2,2,19,17,1984,29568,1120,2
132,0,5,5,1,2,3,22,10,696,2184,640,12
137,0,5,5,2,2,3,22,12,704,1536,1120,10
142,0,5,5,3,2,3,25,19,1816,25552,1600,6
147,0,5,2,0,3,0,9,2,108,108,90,7
152,0,5,2,1,3,1,15,8,324,378,180,7
157,0,5,2,2,3,1,14,8,3888,14580,270,6
162,0,5,2,3,3,1,13,6,756,1998,360,7
167,0,5,2,1,3,2,17,11,1188,9504,270,6
172,0,5,2,2,3,2,18,10,4266,38826,450,8
177,0,5,2,3,3,2,18,14,6318,1359504,630,4
182,0,5,2,1,3,3,23,18,6426,67878,360,5
187,0,5,2,2,3,3,22,11,6912,3196800,630,11
192,0,5,2,3,3,3,27,34,93798,709048792,900,-7
197,0,5,3,0,3,0,6,2,108,108,270,4
202,0,5,3,1,3,1,17,8,648,1188,540,9
207,0,5,3,2,3,1,14,7,1296,1620,810,7
212,0,5,3,3,3,1,14,8,1134,4482,1080,6
217,0,5,3,1,3,2,22,12,1458,4698,810,10
222,0,5,3,2,3,2,21,8,3942,891324,1350,13
227,0,5,3,3,3,2,18,16,5508,35964,1890,2
232,0,5,3,1,3,3,22,11,1890,9072,1080,11
237,0,5,3,2,3,3,25,14,10584,1125900,1890,11
242,0,5,3,3,3,3,25,32,349758,-1262278632,2700,-7
247,0,5,5,0,3,0,9,2,90,90,2430,7
252,0,5,5,1,3,1,13,8,972,7290,4860,5
257,0,5,5,2,3,1,14,6,1296,2106,7290,8
262,0,5,5,3,3,1,13,10,2106,20412,9720,3
267,0,5,5,1,3,2,18,9,972,1458,7290,9
272,0,5,5,2,3,2,17,10,4644,33804,12150,7
277,0,5,5,3,3,2,18,12,18630,427032,17010,6
281,0,5,5,1,3,3,23,14,2160,6804,9720,9
286,0,5,5,2,3,3,22,13,20304,2836998,17010,9
291,0,5,5,3,3,3,27,16,37908,149202,24300,11
296,0,5,2,0,4,0,8,1,96,96,240,7
301,0,5,2,1,4,1,14,6,2176,2432,480,8
306,0,5,2,2,4,1,13,8,10432,21056,720,5
311,0,5,2,3,4,1,12,5,2048,8128,960,7
316,0,5,2,1,4,2,17,9,3968,17280,720,8
321,0,5,2,2,4,2,17,9,11008,343808,1200,8
326,0,5,2,3,4,2,18,16,25152,536882176,1680,2
331,0,5,2,1,4,3,22,12,6784,272512,960,10
336,0,5,2,2,4,3,22,21,241408,100930944,1680,1
341,0,5,2,3,4,3,35,37,206272,-2139086912,2400,-2
342,0,20,2,0,2,0,96,10,888,888,80,86
349,0,20,2,2,2,1,19,36,53656,102072,240,-17
355,0,20,2,1,2,2,23,19,10288,27368,240,4
363,0,20,2,2,2,3,52,142,4954048,-1844252368,560,-90
366,0,20,3,0,2,0,12,7,4512,4512,160,5
371,0,20,3,1,2,1,15,13,11608,29752,320,2
375,0,20,3,2,2,1,17,20,15328,35696,480,-3
380,0,20,3,1,2,2,22,17,53952,138144,480,5
385,0,20,3,1,2,3,28,28,81704,851312,640,0
386,0,20,3,2,2,3,29,90,133920,1034752,1120,-61
389,0,20,3,3,2,3,30,215,474112,119956192,1600,-185
390,0,20,5,0,2,0,7,4,24464,24464,640,3
395,0,20,5,1,2,1,11,11,45248,68416,1280,0
401,0,20,5,3,2,1,16,15,240384,442688,2560,1
405,0,20,5,1,2,2,25,16,241920,1985408,1920,9
407,0,20,5,2,2,2,24,22,262080,685760,3200,2
411,0,20,5,3,2,2,30,38,969536,18091008,4480,-8
414,0,20,5,1,2,3,31,21,289280,1749888,2560,10
417,0,20,5,2,2,3,33,45,534464,8482752,4480,-12
422,0,20,5,3,2,3,35,124,749312,55375232,6400,-89
424,0,20,2,0,3,0,8,6,3402,3402,360,2
429,0,20,2,1,3,1,19,11,1404108,6099030,720,8
438,0,20,2,1,3,2,22,20,259416,3826008,1080,2
439,0,20,2,2,3,2,1139,43,275671998,941225184,1800,1096
442,0,20,2,1,3,3,146,41,2987658,23569596,1440,105
446,0,20,3,0,3,0,21,5,33426,33426,1080,16
451,0,20,3,1,3,1,24,13,726354,2924370,2160,11
454,0,20,3,2,3,1,38,16,3307230,17544600,3240,22
470,0,20,5,0,3,0,21,20,1713636,1713636,9720,1
475,0,20,5,1,3,1,60,38,6343758,30230172,19440,22
478,0,20,5,2,3,1,92,30,10056798,12348774,29160,62
479,0,50,2,0,2,0,89,32,21296,21296,200,57
484,0,50,2,1,2,1,714,60,160307400,87355896,400,654
486,0,50,2,2,2,1,109,190,17020784,162366464,600,-81
488,0,50,3,0,2,0,63,67,11855136,11855136,400,-4
493,0,50,3,1,2,1,1084,49,215493888,296937344,800,1035
494,0,50,3,2,2,1,453,145,63857776,560028560,1200,308
498,0,50,2,0,3,0,40,40,5349672,5349672,900,0
503,0,50,2,0,4,0,151,146,32332944,32332944,2400,5
507,0,50,2,0,4,0,179,168,32332944,32332944,2400,11
