,fold,NON,Hugin,SIIC,NOPar,NOO,NOS,NOC,HuginCost,SIICCost,complexity,difference
2,2,5,9,3,2,0,2,0,32,32,20,6
7,2,5,15,8,2,1,2,1,104,136,40,7
12,2,5,14,10,2,2,2,1,176,200,60,4
17,2,5,19,11,2,3,2,1,408,496,80,8
22,2,5,19,12,2,1,2,2,304,720,60,7
27,2,5,20,14,2,2,2,2,560,3456,100,6
32,2,5,19,15,2,3,2,2,904,10984,140,4
36,2,5,22,14,2,1,2,3,312,512,80,8
41,2,5,32,21,2,2,2,3,688,4488,140,11
46,2,5,22,18,2,3,2,3,1992,109032,200,4
51,2,5,7,2,3,0,2,0,20,20,40,5
56,2,5,13,7,3,1,2,1,152,200,80,6
61,2,5,14,10,3,2,2,1,400,400,120,4
66,2,5,18,10,3,3,2,1,296,552,160,8
71,2,5,18,10,3,1,2,2,216,408,120,8
76,2,5,18,12,3,2,2,2,720,1632,200,6
80,2,5,19,11,3,3,2,2,5168,203280,280,8
85,2,5,24,14,3,1,2,3,488,1272,160,10
94,2,5,23,18,3,3,2,3,3208,156032,400,5
99,2,5,8,2,5,0,2,0,16,16,160,6
104,2,5,14,8,5,1,2,1,128,168,320,6
109,2,5,13,8,5,2,2,1,208,240,480,5
114,2,5,13,6,5,3,2,1,400,416,640,7
119,2,5,17,11,5,1,2,2,224,280,480,6
124,2,5,22,12,5,2,2,2,624,2528,800,10
129,2,5,18,10,5,3,2,2,2256,119488,1120,8
134,2,5,23,13,5,1,2,3,304,1088,640,10
139,2,5,23,13,5,2,2,3,2784,10336,1120,10
144,2,5,23,19,5,3,2,3,10136,331216,1600,4
149,2,5,10,2,2,0,3,0,90,90,90,8
154,2,5,13,9,2,1,3,1,648,810,180,4
159,2,5,14,8,2,2,3,1,3240,8100,270,6
164,2,5,12,7,2,3,3,1,810,972,360,5
169,2,5,21,9,2,1,3,2,756,1566,270,12
174,2,5,17,13,2,2,3,2,2592,1064988,450,4
179,2,5,20,18,2,3,3,2,325620,-1539971806,630,2
184,2,5,22,16,2,1,3,3,1566,3942,360,6
189,2,5,25,18,2,2,3,3,3942,14364,630,7
194,2,5,28,53,2,3,3,3,611874,860956074,900,-25
199,2,5,7,2,3,0,3,0,108,108,270,5
204,2,5,13,5,3,1,3,1,594,810,540,8
209,2,5,13,6,3,2,3,1,2106,9396,810,7
214,2,5,12,8,3,3,3,1,1566,5454,1080,4
219,2,5,18,10,3,1,3,2,1404,2700,810,8
224,2,5,20,8,3,2,3,2,14148,295326,1350,12
229,2,5,20,11,3,3,3,2,12150,11164716,1890,9
234,2,5,23,10,3,1,3,3,2214,100116,1080,13
239,2,5,21,16,3,2,3,3,12150,3898692,1890,5
244,2,5,22,28,3,3,3,3,84564,-420575782,2700,-6
249,2,5,6,2,5,0,3,0,90,90,2430,4
254,2,5,13,5,5,1,3,1,648,972,4860,8
259,2,5,15,9,5,2,3,1,5832,79218,7290,6
264,2,5,14,5,5,3,3,1,1458,4536,9720,9
269,2,5,19,13,5,1,3,2,2052,8100,7290,6
274,2,5,17,12,5,2,3,2,4644,120690,12150,5
278,2,5,18,9,5,3,3,2,6156,160218,17010,9
283,2,5,23,13,5,1,3,3,2754,11826,9720,10
288,2,5,25,14,5,2,3,3,6048,3604932,17010,11
293,2,5,34,18,5,3,3,3,24138,1291522536,24300,16
298,2,5,8,2,2,0,4,0,112,112,240,6
303,2,5,13,8,2,1,4,1,896,16704,480,5
