,fold,NON,Hugin (ms),SIIC (ms),NOPar,NOO,NOS,NOC,HuginCost,SIICCost,complexity,difference
4,4,5,9,2,2,0,2,0,32,32,20,7
9,4,5,14,9,2,1,2,1,112,120,40,5
14,4,5,14,11,2,2,2,1,160,192,60,3
19,4,5,19,11,2,3,2,1,416,2432,80,8
24,4,5,18,12,2,1,2,2,216,336,60,6
29,4,5,20,13,2,2,2,2,368,528,100,7
33,4,5,17,22,2,3,2,2,744,2232,140,-5
38,4,5,24,17,2,1,2,3,368,984,80,7
43,4,5,22,12,2,2,2,3,1472,238000,140,10
48,4,5,22,20,2,3,2,3,4736,53704,200,2
53,4,5,10,2,3,0,2,0,24,24,40,8
58,4,5,13,8,3,1,2,1,120,144,80,5
63,4,5,13,9,3,2,2,1,232,320,120,4
68,4,5,13,7,3,3,2,1,592,2112,160,6
73,4,5,18,12,3,1,2,2,208,464,120,6
78,4,5,17,12,3,2,2,2,320,24832,200,5
82,4,5,18,14,3,3,2,2,1312,8040,280,4
87,4,5,23,17,3,1,2,3,440,1360,160,6
91,4,5,25,17,3,2,2,3,880,9856,280,8
96,4,5,24,24,3,3,2,3,2784,28552,400,0
101,4,5,7,2,5,0,2,0,28,28,160,5
106,4,5,13,5,5,1,2,1,112,304,320,8
111,4,5,17,7,5,2,2,1,168,488,480,10
116,4,5,13,6,5,3,2,1,528,592,640,7
121,4,5,18,10,5,1,2,2,240,352,480,8
126,4,5,19,8,5,2,2,2,384,432,800,11
131,4,5,17,9,5,3,2,2,2304,27584,1120,8
136,4,5,23,10,5,1,2,3,320,2296,640,13
141,4,5,23,11,5,2,2,3,672,7528,1120,12
146,4,5,25,17,5,3,2,3,2464,591264,1600,8
151,4,5,6,2,2,0,3,0,108,108,90,4
156,4,5,16,9,2,1,3,1,360,360,180,7
161,4,5,14,6,2,2,3,1,702,756,270,8
166,4,5,15,9,2,3,3,1,1944,29160,360,6
171,4,5,16,12,2,1,3,2,1080,2754,270,4
176,4,5,18,12,2,2,3,2,3672,119826,450,6
181,4,5,19,13,2,3,3,2,14256,10100214,630,6
186,4,5,23,18,2,1,3,3,1836,24030,360,5
191,4,5,23,14,2,2,3,3,5508,913464,630,9
196,4,5,23,20,2,3,3,3,22518,38326986,900,3
201,4,5,6,3,3,0,3,0,108,108,270,3
206,4,5,13,9,3,1,3,1,324,594,540,4
211,4,5,13,8,3,2,3,1,1242,2538,810,5
216,4,5,14,9,3,3,3,1,1242,1728,1080,5
221,4,5,23,14,3,1,3,2,2268,3402,810,9
226,4,5,18,11,3,2,3,2,7776,257094,1350,7
231,4,5,18,12,3,3,3,2,5022,140886,1890,6
236,4,5,24,11,3,1,3,3,2754,7074,1080,13
241,4,5,24,14,3,2,3,3,4698,83538,1890,10
246,4,5,22,21,3,3,3,3,65286,431002242,2700,1
251,4,5,8,2,5,0,3,0,54,54,2430,6
256,4,5,13,6,5,1,3,1,378,378,4860,7
261,4,5,12,6,5,2,3,1,1944,2430,7290,6
266,4,5,14,7,5,3,3,1,1296,1296,9720,7
271,4,5,18,10,5,1,3,2,1350,2376,7290,8
276,4,5,19,10,5,2,3,2,2646,9666,12150,9
280,4,5,19,15,5,3,3,2,37422,1424628,17010,4
285,4,5,21,11,5,1,3,3,1512,3672,9720,10
290,4,5,24,12,5,2,3,3,3726,143478,17010,12
295,4,5,23,15,5,3,3,3,74196,3922884,24300,8
300,4,5,9,2,2,0,4,0,208,208,240,7
305,4,5,13,7,2,1,4,1,1088,6464,480,6
310,4,5,13,9,2,2,4,1,1984,2688,720,4
315,4,5,13,6,2,3,4,1,5632,33024,960,7
320,4,5,17,10,2,1,4,2,928,2144,720,7
325,4,5,17,9,2,2,4,2,3904,9344,1200,8
330,4,5,18,19,2,3,4,2,74880,23865152,1680,-1
335,4,5,22,11,2,1,4,3,7232,462976,960,11
340,4,5,22,12,2,2,4,3,40192,469968896,1680,10
346,4,20,8,4,2,0,2,0,804,804,80,4
348,4,20,15,21,2,1,2,1,25648,170960,160,-6
352,4,20,20,42,2,2,2,1,31232,108368,240,-22
354,4,20,17,22,2,3,2,1,111656,9781304,320,-5
362,4,20,26,42,2,1,2,3,326424,444808,320,-16
370,4,20,7,6,3,0,2,0,5168,5168,160,1
382,4,20,18,17,3,1,2,2,74576,222576,480,1
394,4,20,9,6,5,0,2,0,63104,63104,640,3
397,4,20,19,11,5,1,2,1,102016,140928,1280,8
404,4,20,11,17,5,3,2,1,208064,458176,2560,-6
410,4,20,25,23,5,2,2,2,1336768,4417408,3200,2
421,4,20,29,56,5,2,2,3,370432,1156736,4480,-27
428,4,20,11,5,2,0,3,0,4320,4320,360,6
434,4,20,22,15,2,2,3,1,1298484,180300384,1080,7
444,4,20,59,37,2,1,3,3,6225444,66366324,1440,22
445,4,20,10928,159,2,2,3,3,2393661024,-129648104,2520,10769
450,4,20,11,5,3,0,3,0,34272,34272,1080,6
456,4,20,34,15,3,2,3,1,3350970,64114578,3240,19
458,4,20,26,21,3,3,3,1,1188756,3452058,4320,5
466,4,20,317,68,3,3,3,2,69672960,2266534114,7560,249
474,4,20,28,27,5,0,3,0,3013686,3013686,9720,1
483,4,50,14,17,2,0,2,0,109100,109100,200,-3
492,4,50,34,39,3,0,2,0,3446416,4954128,400,-5
502,4,50,27,41,2,0,3,0,3005802,6911298,900,-14
506,4,50,71,74,2,0,4,0,13561168,14519632,2400,-3
511,4,50,75,77,2,0,4,0,13561168,14519632,2400,-2
