,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,0,0,0.0,46.0,16.0,24.0,24.0,19.0,20.0,30.0,1.0,63.0,16.0,28.0,28.0,23.0,20.0,47.0,2.0,47.0,0.0,32.0,32.0,23.0,20.0,47.0,3.0,47.0,0.0,24.0,24.0,23.0,20.0,47.0,4.0,47.0,0.0,32.0,32.0,23.0,20.0,47.0
2,2,5,1,1,0.0,47.0,0.0,160.0,176.0,52.0,40.0,47.0,1.0,62.0,0.0,104.0,96.0,45.0,40.0,62.0,2.0,63.0,15.0,104.0,136.0,45.0,40.0,48.0,3.0,63.0,0.0,96.0,104.0,43.0,40.0,63.0,4.0,47.0,16.0,112.0,120.0,47.0,40.0,31.0
2,2,5,1,2,0.0,63.0,16.0,384.0,1680.0,79.0,60.0,47.0,1.0,63.0,0.0,152.0,616.0,60.0,60.0,63.0,2.0,63.0,16.0,176.0,200.0,65.0,60.0,47.0,3.0,62.0,16.0,200.0,384.0,71.0,60.0,46.0,4.0,47.0,15.0,160.0,192.0,55.0,60.0,32.0
2,2,5,1,3,0.0,62.0,15.0,296.0,432.0,92.0,80.0,47.0,1.0,62.0,15.0,224.0,1832.0,93.0,80.0,47.0,2.0,62.0,16.0,408.0,496.0,83.0,80.0,46.0,3.0,63.0,16.0,400.0,2816.0,115.0,80.0,47.0,4.0,62.0,16.0,416.0,2432.0,95.0,80.0,46.0
2,2,5,2,1,0.0,62.0,16.0,272.0,1264.0,69.0,60.0,46.0,1.0,63.0,16.0,184.0,192.0,58.0,60.0,47.0,2.0,62.0,16.0,304.0,720.0,79.0,60.0,46.0,3.0,62.0,15.0,320.0,336.0,70.0,60.0,47.0,4.0,78.0,16.0,216.0,336.0,74.0,60.0,62.0
2,2,5,2,2,0.0,63.0,15.0,360.0,640.0,117.0,100.0,48.0,1.0,78.0,15.0,368.0,944.0,121.0,100.0,63.0,2.0,62.0,16.0,560.0,3456.0,127.0,100.0,46.0,3.0,63.0,16.0,608.0,1056.0,119.0,100.0,47.0,4.0,62.0,16.0,368.0,528.0,128.0,100.0,46.0
2,2,5,2,3,0.0,63.0,15.0,1552.0,19104.0,191.0,140.0,48.0,1.0,63.0,15.0,1008.0,12896.0,200.0,140.0,48.0,2.0,78.0,31.0,904.0,10984.0,167.0,140.0,47.0,,,,,,,,,4.0,62.0,31.0,744.0,2232.0,146.0,140.0,31.0
2,2,5,3,1,0.0,62.0,15.0,368.0,1408.0,95.0,80.0,47.0,1.0,62.0,16.0,392.0,1256.0,91.0,80.0,46.0,2.0,62.0,31.0,312.0,512.0,93.0,80.0,31.0,3.0,63.0,16.0,376.0,8960.0,101.0,80.0,47.0,4.0,62.0,16.0,368.0,984.0,83.0,80.0,46.0
2,2,5,3,2,0.0,62.0,31.0,1856.0,131584.0,276.0,140.0,31.0,1.0,63.0,32.0,1632.0,57744.0,292.0,140.0,31.0,2.0,78.0,31.0,688.0,4488.0,176.0,140.0,47.0,3.0,62.0,15.0,1760.0,31232.0,207.0,140.0,47.0,4.0,63.0,16.0,1472.0,238000.0,235.0,140.0,47.0
2,2,5,3,3,0.0,78.0,16.0,3488.0,235912.0,319.0,200.0,62.0,1.0,63.0,47.0,5480.0,129528.0,413.0,200.0,16.0,2.0,63.0,31.0,1992.0,109032.0,335.0,200.0,32.0,3.0,78.0,32.0,2136.0,590424.0,381.0,200.0,46.0,4.0,63.0,47.0,4736.0,53704.0,677.0,200.0,16.0
2,2,20,0,0,0.0,62.0,0.0,888.0,888.0,111.0,80.0,62.0,1.0,63.0,16.0,572.0,572.0,109.0,80.0,47.0,2.0,62.0,0.0,696.0,696.0,110.0,80.0,62.0,3.0,63.0,16.0,816.0,816.0,109.0,80.0,47.0,4.0,63.0,0.0,804.0,804.0,106.0,80.0,63.0
2,2,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,78.0,31.0,11584.0,98392.0,221.0,160.0,47.0,4.0,78.0,31.0,25648.0,170960.0,244.0,160.0,47.0
2,2,20,1,2,0.0,78.0,47.0,53656.0,102072.0,362.0,240.0,31.0,1.0,63.0,47.0,17392.0,39464.0,345.0,240.0,16.0,2.0,78.0,47.0,16928.0,163360.0,369.0,240.0,31.0,,,,,,,,,4.0,62.0,62.0,31232.0,108368.0,342.0,240.0,0.0
2,2,20,1,3,,,,,,,,,1.0,78.0,63.0,25208.0,120784.0,470.0,320.0,15.0,,,,,,,,,,,,,,,,,4.0,78.0,47.0,111656.0,9781304.0,490.0,320.0,31.0
2,2,20,2,1,0.0,94.0,47.0,10288.0,27368.0,328.0,240.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,20,2,2,,,,,,,,,1.0,110.0,94.0,277024.0,15824384.0,618.0,400.0,16.0,,,,,,,,,3.0,78.0,109.0,397568.0,289632.0,585.0,400.0,-31.0,,,,,,,,
2,2,20,2,3,,,,,,,,,1.0,125.0,156.0,314376.0,175452416.0,891.0,560.0,-31.0,,,,,,,,,3.0,94.0,156.0,974984.0,1624233928.0,860.0,560.0,-62.0,,,,,,,,
2,2,20,3,1,,,,,,,,,,,,,,,,,2.0,109.0,78.0,28328.0,115504.0,489.0,320.0,31.0,3.0,110.0,47.0,185720.0,17259288.0,498.0,320.0,63.0,4.0,110.0,62.0,326424.0,444808.0,469.0,320.0,48.0
2,2,20,3,2,0.0,125.0,156.0,4954048.0,6745682224.0,931.0,560.0,-31.0,,,,,,,,,,,,,,,,,3.0,125.0,187.0,1199952.0,8573888.0,865.0,560.0,-62.0,,,,,,,,
2,2,20,3,3,,,,,,,,,,,,,,,,,2.0,250.0,500.0,41531088.0,347986529336.0,1350.0,800.0,-250.0,,,,,,,,,,,,,,,,
2,2,50,0,0,0.0,85.0,31.0,21296.0,21296.0,289.0,200.0,54.0,1.0,100.0,47.0,40340.0,40340.0,286.0,200.0,53.0,2.0,97.0,32.0,36344.0,36344.0,291.0,200.0,65.0,3.0,109.0,47.0,156120.0,108248.0,285.0,200.0,62.0,4.0,110.0,31.0,109100.0,109100.0,291.0,200.0,79.0
2,2,50,1,1,0.0,750.0,78.0,160307400.0,87355896.0,618.0,400.0,672.0,1.0,188.0,109.0,5108816.0,24585360.0,614.0,400.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,50,1,2,0.0,219.0,219.0,17020784.0,162366464.0,905.0,600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
