,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_difference
,,,,,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,,,,,,
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,0,0,0.0,66.0,4.0,24.0,24.0,20.0,62.0,1.0,13.0,4.0,28.0,28.0,20.0,9.0,2.0,9.0,3.0,32.0,32.0,20.0,6.0,3.0,11.0,2.0,24.0,24.0,20.0,9.0,4.0,9.0,2.0,32.0,32.0,20.0,7.0,24.875690945177787,1.0,4.0,4.0,0.0,24.296090220444935
2,2,5,1,1,0.0,15.0,11.0,160.0,176.0,40.0,4.0,1.0,14.0,9.0,104.0,96.0,40.0,5.0,2.0,15.0,8.0,104.0,136.0,40.0,7.0,3.0,13.0,11.0,96.0,104.0,40.0,2.0,4.0,14.0,9.0,112.0,120.0,40.0,5.0,0.8366600265340756,1.3416407864998738,25.674890457409944,31.69858040985432,0.0,1.816590212458495
2,2,5,1,2,0.0,14.0,11.0,384.0,1680.0,60.0,3.0,1.0,13.0,12.0,152.0,616.0,60.0,1.0,2.0,14.0,10.0,176.0,200.0,60.0,4.0,3.0,14.0,10.0,200.0,384.0,60.0,4.0,4.0,14.0,11.0,160.0,192.0,60.0,3.0,0.4472135954999579,0.8366600265340756,96.56500401284102,620.2296348933997,0.0,1.224744871391589
2,2,5,1,3,0.0,21.0,14.0,296.0,432.0,80.0,7.0,1.0,20.0,20.0,224.0,1832.0,80.0,0.0,2.0,19.0,11.0,408.0,496.0,80.0,8.0,3.0,14.0,15.0,400.0,2816.0,80.0,-1.0,4.0,19.0,11.0,416.0,2432.0,80.0,8.0,2.701851217221259,3.7013511046643495,85.1539781807051,1096.3269585301641,0.0,4.505552130427524
2,2,5,2,1,0.0,23.0,18.0,272.0,1264.0,60.0,5.0,1.0,17.0,14.0,184.0,192.0,60.0,3.0,2.0,19.0,12.0,304.0,720.0,60.0,7.0,3.0,21.0,10.0,320.0,336.0,60.0,11.0,4.0,18.0,12.0,216.0,336.0,60.0,6.0,2.4083189157584592,3.03315017762062,57.85499114164654,434.8940100760184,0.0,2.9664793948382653
2,2,5,2,2,0.0,18.0,12.0,360.0,640.0,100.0,6.0,1.0,18.0,16.0,368.0,944.0,100.0,2.0,2.0,20.0,14.0,560.0,3456.0,100.0,6.0,3.0,18.0,13.0,608.0,1056.0,100.0,5.0,4.0,20.0,13.0,368.0,528.0,100.0,7.0,1.0954451150103321,1.51657508881031,121.00909056760983,1210.6936854547478,0.0,1.9235384061671348
2,2,5,2,3,0.0,18.0,14.0,1552.0,19104.0,140.0,4.0,1.0,18.0,16.0,1008.0,12896.0,140.0,2.0,2.0,19.0,15.0,904.0,10984.0,140.0,4.0,,,,,,,,4.0,17.0,22.0,744.0,2232.0,140.0,-5.0,0.816496580927726,3.593976442141304,350.57286451368896,6970.845190266864,0.0,4.272001872658765
2,2,5,3,1,0.0,23.0,13.0,368.0,1408.0,80.0,10.0,1.0,23.0,15.0,392.0,1256.0,80.0,8.0,2.0,22.0,14.0,312.0,512.0,80.0,8.0,3.0,22.0,17.0,376.0,8960.0,80.0,5.0,4.0,24.0,17.0,368.0,984.0,80.0,7.0,0.8366600265340756,1.7888543819998317,30.252272641902458,3558.269242201888,0.0,1.816590212458495
2,2,5,3,2,0.0,49.0,24.0,1856.0,131584.0,140.0,25.0,1.0,47.0,23.0,1632.0,57744.0,140.0,24.0,2.0,32.0,21.0,688.0,4488.0,140.0,11.0,3.0,27.0,17.0,1760.0,31232.0,140.0,10.0,4.0,22.0,12.0,1472.0,238000.0,140.0,10.0,12.054044964243332,4.9295030175464944,466.42126881178996,94081.89052522277,0.0,7.7781745930520225
2,2,5,3,3,0.0,23.0,16.0,3488.0,235912.0,200.0,7.0,1.0,22.0,18.0,5480.0,129528.0,200.0,4.0,2.0,22.0,18.0,1992.0,109032.0,200.0,4.0,3.0,23.0,19.0,2136.0,590424.0,200.0,4.0,4.0,22.0,20.0,4736.0,53704.0,200.0,2.0,0.5477225575051661,1.4832396974191326,1546.0235444520242,215378.37573906995,0.0,1.7888543819998317
2,2,20,0,0,0.0,96.0,10.0,888.0,888.0,80.0,86.0,1.0,13.0,8.0,572.0,572.0,80.0,5.0,2.0,9.0,7.0,696.0,696.0,80.0,2.0,3.0,11.0,6.0,816.0,816.0,80.0,5.0,4.0,8.0,4.0,804.0,804.0,80.0,4.0,38.3966144340878,2.23606797749979,123.26881195176662,123.26881195176662,0.0,36.6919609723983
2,2,20,1,1,,,,,,,,,,,,,,,,,,,,,,3.0,14.0,17.0,11584.0,98392.0,160.0,-3.0,4.0,15.0,21.0,25648.0,170960.0,160.0,-6.0,0.7071067811865476,2.8284271247461903,9944.749770607605,51313.32489714538,0.0,2.1213203435596424
2,2,20,1,2,0.0,19.0,36.0,53656.0,102072.0,240.0,-17.0,1.0,25.0,27.0,17392.0,39464.0,240.0,-2.0,2.0,21.0,39.0,16928.0,163360.0,240.0,-18.0,,,,,,,,4.0,20.0,42.0,31232.0,108368.0,240.0,-22.0,2.6299556396765835,6.48074069840786,17231.813524215417,50693.29370505202,0.0,8.770214744615247
