,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_RComplexity,Avg_difference,STD_Hugin,STD_SIIC,STD_HuginCost,STD_SIICCost,STD_complexity,STD_RComplexity,STD_difference
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,,,,,,,,,,,,,,
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,0,0,0.0,46.0,16.0,24.0,24.0,19.0,20.0,30.0,1.0,63.0,16.0,28.0,28.0,23.0,20.0,47.0,2.0,47.0,0.0,32.0,32.0,23.0,20.0,47.0,3.0,47.0,0.0,24.0,24.0,23.0,20.0,47.0,4.0,47.0,0.0,32.0,32.0,23.0,20.0,47.0,50.0,6.4,28.0,22.2,20.0,28.0,43.6,7.280109889280518,8.763560920082659,4.0,1.7888543819998315,0.0,4.0,7.602631123499286
2,2,5,1,1,0.0,47.0,0.0,160.0,176.0,52.0,40.0,47.0,1.0,62.0,0.0,104.0,96.0,45.0,40.0,62.0,2.0,63.0,15.0,104.0,136.0,45.0,40.0,48.0,3.0,63.0,0.0,96.0,104.0,43.0,40.0,63.0,4.0,47.0,16.0,112.0,120.0,47.0,40.0,31.0,56.4,6.2,126.4,46.4,40.0,115.2,50.2,8.590692637965812,8.497058314499203,31.69858040985432,3.4351128074635335,0.0,25.674890457409944,13.103434664239753
2,2,5,1,2,0.0,63.0,16.0,384.0,1680.0,79.0,60.0,47.0,1.0,63.0,0.0,152.0,616.0,60.0,60.0,63.0,2.0,63.0,16.0,176.0,200.0,65.0,60.0,47.0,3.0,62.0,16.0,200.0,384.0,71.0,60.0,46.0,4.0,47.0,15.0,160.0,192.0,55.0,60.0,32.0,59.6,12.6,614.4,66.0,60.0,214.4,47.0,7.05691150575094,7.05691150575094,620.2296348933997,9.38083151964686,0.0,96.56500401284102,10.977249200050075
2,2,5,1,3,0.0,62.0,15.0,296.0,432.0,92.0,80.0,47.0,1.0,62.0,15.0,224.0,1832.0,93.0,80.0,47.0,2.0,62.0,16.0,408.0,496.0,83.0,80.0,46.0,3.0,63.0,16.0,400.0,2816.0,115.0,80.0,47.0,4.0,62.0,16.0,416.0,2432.0,95.0,80.0,46.0,62.2,15.6,1601.6,95.6,80.0,348.8,46.6,0.4472135954999579,0.5477225575051662,1096.3269585301641,11.781341180018513,0.0,85.1539781807051,0.5477225575051661
2,2,5,2,1,0.0,62.0,16.0,272.0,1264.0,69.0,60.0,46.0,1.0,63.0,16.0,184.0,192.0,58.0,60.0,47.0,2.0,62.0,16.0,304.0,720.0,79.0,60.0,46.0,3.0,62.0,15.0,320.0,336.0,70.0,60.0,47.0,4.0,78.0,16.0,216.0,336.0,74.0,60.0,62.0,65.4,15.8,569.6,70.0,60.0,259.2,49.6,7.05691150575094,0.4472135954999579,434.8940100760184,7.7781745930520225,0.0,57.85499114164654,6.9498201415576215
2,2,5,2,2,0.0,63.0,15.0,360.0,640.0,117.0,100.0,48.0,1.0,78.0,15.0,368.0,944.0,121.0,100.0,63.0,2.0,62.0,16.0,560.0,3456.0,127.0,100.0,46.0,3.0,63.0,16.0,608.0,1056.0,119.0,100.0,47.0,4.0,62.0,16.0,368.0,528.0,128.0,100.0,46.0,65.6,15.6,1324.8,122.4,100.0,452.8,50.0,6.949820141557621,0.5477225575051662,1210.6936854547478,4.878524367060187,0.0,121.00909056760983,7.314369419163897
2,2,5,2,3,0.0,63.0,15.0,1552.0,19104.0,191.0,140.0,48.0,1.0,63.0,15.0,1008.0,12896.0,200.0,140.0,48.0,2.0,78.0,31.0,904.0,10984.0,167.0,140.0,47.0,,,,,,,,,4.0,62.0,31.0,744.0,2232.0,146.0,140.0,31.0,66.5,23.0,11304.0,176.0,140.0,1052.0,43.5,7.681145747868608,9.237604307034012,6970.845190266864,24.372115213907882,0.0,350.57286451368896,8.34665601703261
2,2,5,3,1,0.0,62.0,15.0,368.0,1408.0,95.0,80.0,47.0,1.0,62.0,16.0,392.0,1256.0,91.0,80.0,46.0,2.0,62.0,31.0,312.0,512.0,93.0,80.0,31.0,3.0,63.0,16.0,376.0,8960.0,101.0,80.0,47.0,4.0,62.0,16.0,368.0,984.0,83.0,80.0,46.0,62.2,18.8,2624.0,92.6,80.0,363.2,43.4,0.4472135954999579,6.833739825307955,3558.269242201888,6.542170893518451,0.0,30.252272641902458,6.9498201415576215
2,2,5,3,2,0.0,62.0,31.0,1856.0,131584.0,276.0,140.0,31.0,1.0,63.0,32.0,1632.0,57744.0,292.0,140.0,31.0,2.0,78.0,31.0,688.0,4488.0,176.0,140.0,47.0,3.0,62.0,15.0,1760.0,31232.0,207.0,140.0,47.0,4.0,63.0,16.0,1472.0,238000.0,235.0,140.0,47.0,65.6,25.0,92609.6,237.2,140.0,1481.6,40.6,6.9498201415576215,8.689073598491383,94081.89052522277,47.88214698611582,0.0,466.42126881178996,8.763560920082657
2,2,5,3,3,0.0,78.0,16.0,3488.0,235912.0,319.0,200.0,62.0,1.0,63.0,47.0,5480.0,129528.0,413.0,200.0,16.0,2.0,63.0,31.0,1992.0,109032.0,335.0,200.0,32.0,3.0,78.0,32.0,2136.0,590424.0,381.0,200.0,46.0,4.0,63.0,47.0,4736.0,53704.0,677.0,200.0,16.0,69.0,34.6,223720.0,425.0,200.0,3566.4,34.4,8.215838362577491,12.973048986263793,215378.37573906995,145.70518178843196,0.0,1546.0235444520242,19.86957473123167
2,2,20,0,0,0.0,62.0,0.0,888.0,888.0,111.0,80.0,62.0,1.0,63.0,16.0,572.0,572.0,109.0,80.0,47.0,2.0,62.0,0.0,696.0,696.0,110.0,80.0,62.0,3.0,63.0,16.0,816.0,816.0,109.0,80.0,47.0,4.0,63.0,0.0,804.0,804.0,106.0,80.0,63.0,62.6,6.4,755.2,109.0,80.0,755.2,56.2,0.5477225575051661,8.763560920082659,123.26881195176662,1.8708286933869707,0.0,123.26881195176662,8.408329203831164
2,2,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,78.0,31.0,11584.0,98392.0,221.0,160.0,47.0,4.0,78.0,31.0,25648.0,170960.0,244.0,160.0,47.0,78.0,31.0,134676.0,232.5,160.0,18616.0,47.0,0.0,0.0,51313.32489714538,16.263455967290593,0.0,9944.749770607605,0.0
