,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Average,Average,Average,Average,Average,Average,STD,STD,STD,STD,STD,STD
,,,,,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,0,0,66,4,24,24,20,62,13,4,28,28,20,9,9,3,32,32,20,6,11,2,24,24,20,9,9,2,32,32,20,7,21.6,3,28,28,20,18.6,24.87569095,1,4,4,0,24.29609022
2,2,5,1,1,15,11,160,176,40,4,14,9,104,96,40,5,15,8,104,136,40,7,13,11,96,104,40,2,14,9,112,120,40,5,14.2,9.6,115.2,126.4,40,4.6,0.836660027,1.341640786,25.67489046,31.69858041,0,1.816590212
2,2,5,1,2,14,11,384,1680,60,3,13,12,152,616,60,1,14,10,176,200,60,4,14,10,200,384,60,4,14,11,160,192,60,3,13.8,10.8,214.4,614.4,60,3,0.447213595,0.836660027,96.56500401,620.2296349,0,1.224744871
2,2,5,1,3,21,14,296,432,80,7,20,20,224,1832,80,0,19,11,408,496,80,8,14,15,400,2816,80,-1,19,11,416,2432,80,8,18.6,14.2,348.8,1601.6,80,4.4,2.701851217,3.701351105,85.15397818,1096.326959,0,4.50555213
2,2,5,2,1,23,18,272,1264,60,5,17,14,184,192,60,3,19,12,304,720,60,7,21,10,320,336,60,11,18,12,216,336,60,6,19.6,13.2,259.2,569.6,60,6.4,2.408318916,3.033150178,57.85499114,434.8940101,0,2.966479395
2,2,5,2,2,18,12,360,640,100,6,18,16,368,944,100,2,20,14,560,3456,100,6,18,13,608,1056,100,5,20,13,368,528,100,7,18.8,13.6,452.8,1324.8,100,5.2,1.095445115,1.516575089,121.0090906,1210.693685,0,1.923538406
2,2,5,2,3,18,14,1552,19104,140,4,18,16,1008,12896,140,2,19,15,904,10984,140,4,,,,,,,17,22,744,2232,140,-5,18,16.75,1052,11304,140,1.25,0.816496581,3.593976442,350.5728645,6970.84519,0,4.272001873
2,2,5,3,1,23,13,368,1408,80,10,23,15,392,1256,80,8,22,14,312,512,80,8,22,17,376,8960,80,5,24,17,368,984,80,7,22.8,15.2,363.2,2624,80,7.6,0.836660027,1.788854382,30.25227264,3558.269242,0,1.816590212
